epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.139,0.79864,0.58824,1,0.55578,0.000505152,0.000505152,0.000505152
2,14.1021,0.52439,0.76471,1,0.38681,0.000990804,0.000990804,0.000990804
3,20.9126,0.3084,0.94118,1,0.12156,0.00140311,0.00140311,0.00140311
4,27.4271,0.28003,1,1,0.36102,0.00133693,0.00133693,0.00133693
5,33.6478,0.10485,0.94118,1,0.0825,0.00122691,0.00122691,0.00122691
6,40.0295,0.18515,0.88235,1,0.16555,0.00111689,0.00111689,0.00111689
7,46.4337,0.14588,0.88235,1,0.2127,0.00100687,0.00100687,0.00100687
8,52.7145,0.12478,0.88235,1,1.85326,0.000896846,0.000896846,0.000896846
9,58.9194,0.18378,0.88235,1,0.20304,0.000786824,0.000786824,0.000786824
10,65.1896,0.14694,0.88235,1,0.25895,0.000676802,0.000676802,0.000676802
11,71.4192,0.11757,0.82353,1,0.26825,0.00056678,0.00056678,0.00056678
12,77.6629,0.03346,0.82353,1,0.29965,0.000456758,0.000456758,0.000456758
13,83.9589,0.22478,0.82353,1,0.27317,0.000346736,0.000346736,0.000346736
14,90.2963,0.04747,0.82353,1,0.33169,0.000236714,0.000236714,0.000236714
15,96.7797,0.26179,0.82353,1,0.53184,0.000126692,0.000126692,0.000126692
