epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.1967,0.12913,0.95312,1,0.10141,0.000526421,0.000526421,0.000526421
2,15.9562,0.11612,0.96875,1,0.0701,0.00102852,0.00102852,0.00102852
3,17.701,0.14845,0.96875,1,0.03719,0.00147562,0.00147562,0.00147562
4,21.5558,0.19612,0.96875,1,0.11975,0.00141945,0.00141945,0.00141945
5,25.6779,0.24468,0.96875,1,0.15679,0.00133693,0.00133693,0.00133693
6,31.878,0.13968,0.95312,1,0.1142,0.00125442,0.00125442,0.00125442
7,36.2826,0.13111,0.92188,1,0.16671,0.0011719,0.0011719,0.0011719
8,41.5434,0.08767,0.90625,1,0.36786,0.00108938,0.00108938,0.00108938
9,47.7952,0.13575,0.875,1,0.46929,0.00100687,0.00100687,0.00100687
10,51.9065,0.16446,0.95312,1,0.09351,0.000924352,0.000924352,0.000924352
11,102.578,0.1269,0.98438,1,0.04327,0.000841835,0.000841835,0.000841835
12,107.401,0.10674,0.96875,1,0.08087,0.000759318,0.000759318,0.000759318
13,112.728,0.08911,0.9375,1,0.10901,0.000676802,0.000676802,0.000676802
14,118.585,0.1078,0.9375,1,0.13484,0.000594286,0.000594286,0.000594286
15,123.159,0.07275,0.92188,1,0.10921,0.000511769,0.000511769,0.000511769
16,128.917,0.071,0.95312,1,0.08713,0.000429253,0.000429253,0.000429253
17,133.015,0.08727,0.92188,1,0.10872,0.000346736,0.000346736,0.000346736
18,137.075,0.05067,0.9375,1,0.09235,0.00026422,0.00026422,0.00026422
19,141.973,0.05682,0.9375,1,0.08505,0.000181703,0.000181703,0.000181703
20,145.836,0.03638,0.95312,1,0.09348,9.91865e-05,9.91865e-05,9.91865e-05
