epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.81468,0.40629,0.78261,1,0.39529,0.000515976,0.000515976,0.000515976
2,19.0156,0.26784,0.82609,1,0.24143,0.00102921,0.00102921,0.00102921
3,28.1031,0.14538,0.91304,1,0.14421,0.00149843,0.00149843,0.00149843
4,36.8549,0.32717,0.82609,1,0.27956,0.00146896,0.00146896,0.00146896
5,45.6543,0.08953,0.82609,1,0.3562,0.00140295,0.00140295,0.00140295
6,54.6905,0.10716,0.86957,1,0.44455,0.00133693,0.00133693,0.00133693
7,63.6734,0.14691,0.86957,1,0.21047,0.00127092,0.00127092,0.00127092
8,72.6212,0.11803,0.91304,1,0.29862,0.00120491,0.00120491,0.00120491
9,81.4529,0.09138,0.82609,1,0.49534,0.00113889,0.00113889,0.00113889
10,90.4465,0.15994,0.82609,1,0.39692,0.00107288,0.00107288,0.00107288
11,99.2825,0.04917,0.86957,1,0.36594,0.00100687,0.00100687,0.00100687
12,108.177,0.1327,0.86957,1,0.42407,0.000940855,0.000940855,0.000940855
13,117.164,0.15341,0.86957,1,0.40248,0.000874842,0.000874842,0.000874842
14,126.249,0.06152,0.86957,1,0.45817,0.000808828,0.000808828,0.000808828
15,135.567,0.14849,0.82609,1,0.56618,0.000742815,0.000742815,0.000742815
16,144.566,0.0473,0.82609,1,0.51557,0.000676802,0.000676802,0.000676802
17,153.669,0.15567,0.86957,1,0.42259,0.000610789,0.000610789,0.000610789
18,162.663,0.14234,0.86957,1,0.73538,0.000544776,0.000544776,0.000544776
19,171.721,0.03635,0.86957,1,0.51808,0.000478762,0.000478762,0.000478762
20,180.74,0.08287,0.86957,1,0.38215,0.000412749,0.000412749,0.000412749
21,189.67,0.10251,0.86957,1,0.39533,0.000346736,0.000346736,0.000346736
22,198.528,0.06811,0.86957,1,0.58898,0.000280723,0.000280723,0.000280723
23,207.716,0.2013,0.86957,1,0.29382,0.00021471,0.00021471,0.00021471
24,216.58,0.06926,0.86957,1,0.28079,0.000148696,0.000148696,0.000148696
25,225.548,0.06606,0.86957,1,0.52006,8.26832e-05,8.26832e-05,8.26832e-05
